DATE,YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,ABOVE BASELINE,IS FLUWEEK,AGE 0-4,AGE 5-24,AGE 25-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,TOTAL SPECIMENS,A (Subtyping not Performed),A (2009 H1N1),A (H1),A (H3),B,Bvic,Byam,AVG WIND SPEED MONTHLY,COOLING DAYS MONTHLY,HEATING DAYS MONTHLY,PRECIPITATION MONTHLY,AVG TEMP MONTHLY,POPULATION,VAXEFFECTIVENESS,VACCINERATENATIONAL,AWND,PRCP,TAVG
2003-10-05,2003,40,0.572031,0.78220271,0,0,14,40,27,5,86,87,18256,4,0,0,0,0,0,0,0,3.4,0.0,266.2,150.1,9.7,14182454,52,12.7,2.8057142857142856,1.8085714285714285,11.1
2003-10-12,2003,41,0.449279,0.78220271,0,0,6,35,35,8,84,88,20646,11,0,0,0,0,0,0,0,3.4,0.0,266.2,150.1,9.7,14182454,52,12.7,2.48,2.7261904761904754,12.74
2003-10-19,2003,42,0.613789,0.78220271,0,0,19,60,32,5,116,92,20778,18,0,0,0,0,0,0,0,3.4,0.0,266.2,150.1,9.7,14182454,52,12.7,3.634285714285714,5.311904761904761,10.291428571428572
2003-10-26,2003,43,0.66117,0.78220271,0,0,32,56,33,2,123,87,21682,21,0,0,0,0,0,0,0,3.4,0.0,266.2,150.1,9.7,14182454,52,12.7,3.974285714285714,2.473333333333333,7.068571428571429
2003-11-02,2003,44,0.760914,0.78220271,0,0,31,74,38,25,168,91,23108,23,0,0,0,1,0,0,0,3.6,0.0,375.4,77.7,5.6,14182454,52,12.7,3.2914285714285714,9.71190476190476,12.899285714285714
2003-11-09,2003,45,0.877168,0.78220271,1,0,24,93,50,19,186,94,23259,29,2,0,0,0,0,0,0,3.6,0.0,375.4,77.7,5.6,14182454,52,12.7,3.2285714285714286,2.1357142857142857,7.014285714285715
2003-11-16,2003,46,0.944299,0.78220271,1,1,47,73,62,17,199,94,22517,34,1,0,0,2,0,0,0,3.6,0.0,375.4,77.7,5.6,14182454,52,12.7,4.388571428571428,1.6261904761904762,3.78
2003-11-23,2003,47,1.35565,0.78220271,1,1,43,126,83,23,275,96,22542,51,2,0,0,5,0,0,0,3.6,0.0,375.4,77.7,5.6,14182454,52,12.7,3.2599999999999993,3.5928571428571425,7.065714285714286
2003-11-30,2003,48,1.81206,0.78220271,1,1,42,97,83,37,259,96,16119,122,19,0,0,13,1,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,3.597142857142857,3.076190476190476,5.848571428571428
2003-12-07,2003,49,2.36008,0.78220271,1,1,97,308,114,44,563,100,24907,288,64,0,0,37,2,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,5.917142857142857,4.54047619047619,-3.188571428571429
2003-12-14,2003,50,5.2467,0.78220271,1,1,135,851,172,67,1225,104,25459,904,150,0,0,128,3,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,3.834285714285714,5.497619047619048,-1.6199999999999997
2003-12-21,2003,51,6.41499,0.78220271,1,1,326,785,288,102,1501,107,23713,823,222,0,0,86,0,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,4.46,6.00952380952381,-0.9171428571428574
2003-12-28,2003,52,6.65924,0.78220271,1,1,321,426,277,110,1134,104,16879,852,242,0,0,51,0,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,3.237142857142857,2.4666666666666663,4.302857142857143
2004-01-04,2003,53,4.92807,0.78220271,1,1,269,273,310,79,931,108,18691,694,170,0,0,39,0,0,0,4.4,0.0,582.4,137.8,-1.0,14182454,52,12.7,4.079999999999999,0.25555555555555554,5.226666666666667
2004-01-11,2004,1,3.13999,0.78220271,1,1,175,235,219,65,694,110,22483,502,133,0,0,14,0,0,0,4.6,0.0,799.1,26.5,-8.3,14206683,52,12.7,4.6,26.5,-8.3
2004-01-18,2004,2,1.89527,0.78220271,1,1,109,147,139,27,422,111,22788,291,71,0,0,14,0,0,0,4.6,0.0,799.1,26.5,-8.3,14206683,52,12.7,4.6,26.5,-8.3
2004-01-25,2004,3,1.42111,0.78220271,1,1,74,98,110,20,302,106,21253,189,26,0,0,4,0,0,0,4.6,0.0,799.1,26.5,-8.3,14206683,52,12.7,4.6,26.5,-8.3
2004-02-01,2004,4,0.863052,0.78220271,1,1,51,76,42,5,174,99,20824,209,20,0,0,39,0,0,0,4.6,0.0,799.1,26.5,-8.3,14206683,52,12.7,4.1,0.0,-5.24
2004-02-08,2004,5,0.641845,0.78220271,0,0,37,55,30,9,131,99,20236,163,7,0,1,18,1,0,0,4.0,0.0,576.1,40.9,-1.4,14206683,52,12.7,3.8314285714285714,4.854761904761905,-2.314285714285714
2004-02-15,2004,6,0.559536,0.78220271,0,0,40,44,25,7,116,96,20787,111,2,0,0,9,0,0,0,4.0,0.0,576.1,40.9,-1.4,14206683,52,12.7,3.994285714285714,0.047619047619047616,-1.6485714285714284
2004-02-22,2004,7,0.546139,0.78220271,0,0,29,39,28,4,100,94,18739,61,1,0,0,18,0,0,0,4.0,0.0,576.1,40.9,-1.4,14206683,52,12.7,3.8114285714285714,0.5714285714285714,-2.5371428571428574
2004-02-29,2004,8,0.449425,0.78220271,0,0,20,36,21,2,79,87,18593,50,0,0,0,0,0,0,0,4.0,0.0,576.1,40.9,-1.4,14206683,52,12.7,3.8485714285714288,0.007142857142857143,1.0599999999999998
2004-03-07,2004,9,0.406701,0.78220271,0,0,20,24,16,3,63,88,18457,44,1,0,0,2,0,0,0,4.2,0.0,459.9,68.3,3.4,14206683,52,12.7,3.562857142857143,1.3880952380952378,6.220000000000001
2004-03-14,2004,10,0.468584,0.78220271,0,0,30,19,11,3,63,82,16879,46,1,0,0,0,0,0,0,4.2,0.0,459.9,68.3,3.4,14206683,52,12.7,4.208571428571428,0.40476190476190477,1.3285714285714287
